municipality,province,year,"AGRICOLTURA, POLITICHE AGROALIMENTARI E PESCA",ANTICIPAZIONI FINANZIARIE,ASSETTO DEL TERRITORIO ED EDILIZIA ABITATIVA,DEBITO PUBBLICO,"DIRITTI SOCIALI, POLITICHE SOCIALI E FAMIGLIA",Disavanzo di amministrazione,ENERGIA E DIVERSIFICAZIONE DELLE FONTI ENERGETICHE,FONDI E ACCANTONAMENTI,GIUSTIZIA,ISTRUZIONE E DIRITTO ALLO STUDIO,ORDINE PUBBLICO E SICUREZZA,"POLITICHE GIOVANILI, SPORT E TEMPO LIBERO",POLITICHE PER IL LAVORO E LA FORMAZIONE PROFESSIONALE,Prestiti,RELAZIONI CON LE ALTRE AUTONOMIE TERRITORIALI E LOCALI,RELAZIONI INTERNAZIONALI,"SERVIZI ISTITUZIONALI, GENERALI E DI GESTIONE",SERVIZI PER CONTO TERZI,SOCCORSO CIVILE,SVILUPPO ECONOMICO E COMPETITIVITÀ,SVILUPPO SOSTENIBILE E TUTELA DEL TERRITORIO E DELL'AMBIENTE,Spese per conto terzi,TOTALE SPESE,TRASPORTI E DIRITTO ALLA MOBILITA',TURISMO,TUTELA DELLA SALUTE,TUTELA E VALORIZZAZIONE DEI BENI E ATTIVITA' CULTURALI,funzioni,preventivo-spese-disavanzo-di-amministrazione
MURO LUCANO,PZ,2017,480198,5500000,2191110,332925,2204964,0,84646,752935,0,1428022,208608,58370,0,NA,0,0,1698121,4531472,0,26563,1085331,NA,21432830,722444,33137,0,93984,NA,NA
AZZANO MELLA,BS,2017,0,0,0,204927,111296,NA,0,0,0,357541,34456,7519,0,NA,0,0,733236,237534,0,0,266235,NA,2022017,64508,0,0,4765,NA,NA
CHIEUTI,FG,2017,0,757835,484174,142205,163609,0,0,0,0,210983,98363,153059,0,NA,0,0,1763458,4413710,8984,516,1833630,NA,10888227,808821,0,0,48880,NA,NA
TAURIANOVA,RC,2017,0,4000000,272325,668369,967134,502183,300000,23000,0,463792,464100,28900,0,NA,0,0,3718406,17432146,84000,72267,2822387,NA,31941408,579282,0,0,45300,NA,NA
SAN MANGO D'AQUINO,CZ,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARDEA,RM,2017,0,145311,197927,1671594,3872234,NA,0,0,0,2933623,1084654,10211,0,NA,0,0,7870232,3115219,22400,383554,9846973,NA,32674394,1449173,39711,0,31577,NA,NA
BOVALINO,RC,2017,0,500000,640369,491183,4314794,199979,0,21000,0,1460884,137510,400000,0,NA,0,0,6316625,3370785,415752,0,10488723,NA,28821404,15006,0,0,248775,NA,NA
CASSARO,SR,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
NICOTERA,VV,2018,0,0,188332,305937,4109,NA,0,0,0,201850,107323,324,0,NA,0,0,1121538,528027,263,0,1154135,NA,3611837,0,0,0,0,NA,NA
SOMMATINO,CL,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TERNI,TR,2018,277,76726253,2304675,11468892,8063608,NA,0,0,37367,6806941,4159436,924384,0,NA,0,0,26169002,33144851,960726,771887,23466082,NA,205469060,6809588,411329,681215,2562549,NA,NA
RIACE,RC,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
BORGETTO,PA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIGNATARO INTERAMNA,FR,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
MONREALE,PA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
MONTE PORZIO CATONE,RM,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
ZAGARISE,CZ,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
MANDATORICCIO,CS,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
CASERTA,CE,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
VIZZINI,CT,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARAGONA,AG,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAULONIA,RC,2018,0,6471786,358713,393261,1724993,NA,0,0,0,251883,279042,4997,0,NA,0,0,2186708,3073711,0,5762,1342112,NA,16360477,0,0,0,267509,NA,NA
BOLOGNETTA,PA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CARDETO,RC,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
CAMPIONE D'ITALIA,CO,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASSINO,FR,2018,951,0,1048408,1872980,4794284,NA,0,0,131583,1753392,985704,51966,0,NA,0,0,7508537,3340520,69569,253105,6927092,NA,32123656,3084548,0,0,301019,NA,NA
SAN LORENZO DEL VALLO,CS,2018,0,1481838,30928,392065,34244,NA,0,0,0,100253,173967,4811,0,NA,0,0,636408,1271249,0,0,488024,NA,4695112,64511,0,0,16815,NA,NA
GIARRE,CT,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCELLO ED ARNONE,CE,2018,0,268324,22226,1922332,50388,NA,0,0,0,247782,399346,17926,0,NA,0,0,938182,472093,0,0,759647,NA,5649241,397983,153013,0,0,NA,NA
SANTA MARINELLA,RM,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
CAROLEI,CS,2018,0,550109,6590,108244,366601,0,27566,289490,0,334070,93764,27111,0,NA,0,0,1683425,1443048,0,133,2313817,NA,7982034,732058,0,0,6008,NA,NA
BOJANO,CB,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA
