Municipality,province,inhabitants,Year,Total Revenues,Taxes and Duties,Extra-Tax Revenues,External Public Funding,Loans,Custodial Revenues,Capital Transfers,Revenues from Reduction of Financial Activities,Capital Revenues
ARAGONA,AG,9362.0,2018,,0.0,0.0,0.0,0.0,,0.0,,
CAULONIA,RC,7119.0,2018,17414019.0,3393510.0,544715.0,5690453.0,76140.0,4098318.0,3541086.0,0.0,69798.0
BOLOGNETTA,PA,4194.0,2018,,0.0,0.0,0.0,0.0,,0.0,,
CARDETO,RC,1521.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPIONE D'ITALIA,CO,1961.0,2018,,0.0,0.0,0.0,0.0,,0.0,,
CASSINO,FR,36612.0,2018,32840926.0,20751509.0,3400255.0,0.0,14041.0,3260602.0,4095190.0,0.0,1319329.0
SAN LORENZO DEL VALLO,CS,3306.0,2018,5603931.0,1111345.0,452960.0,1911544.0,0.0,1324045.0,159517.0,0.0,644520.0
GIARRE,CT,27444.0,2018,,0.0,0.0,0.0,0.0,,0.0,,
CANCELLO ED ARNONE,CE,5679.0,2018,5649241.0,1965287.0,233200.0,384406.0,1877562.0,536715.0,346924.0,0.0,305147.0
SANTA MARINELLA,RM,18933.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAROLEI,CS,3335.0,2018,10646121.0,4579130.0,2906290.0,550109.0,351769.0,1287496.0,411849.0,0.0,559477.0
BOJANO,CB,8033.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTEMILETTO,AV,5248.0,2018,25399189.0,5393472.0,1500870.0,822120.0,1175536.0,11328202.0,120303.0,0.0,5058686.0
PARTINICO,PA,31840.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATANIA,CT,311584.0,2018,2137942070.0,559727453.0,218155466.0,206190321.0,48809866.0,710866366.0,118111267.0,0.0,276081331.0
PIEDIMONTE MATESE,CE,10604.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANT'AGATA DE' GOTI,BN,10785.0,2019,,0.0,0.0,0.0,0.0,,0.0,,
MAGLIANO ROMANO,RM,1455.0,2019,4539573.0,811845.0,140453.0,1300000.0,158084.0,831251.0,79944.0,0.0,1217996.0
CASTELVETRANO,TP,30540.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN FRATELLO,ME,3462.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRATTE ROSA,PU,917.0,2019,,0.0,0.0,0.0,0.0,,0.0,,
MOTTA SAN GIOVANNI,RC,5805.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUCOLI,KR,2926.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAVAGNA,GE,12440.0,2019,26841597.0,14048482.0,2962577.0,0.0,0.0,3090664.0,668426.0,0.0,6071448.0
SANT'ARPINO,CE,14831.0,2019,,0.0,0.0,0.0,0.0,,0.0,,
RANDAZZO,CT,10579.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DINAMI,VV,1977.0,2019,2073613.0,990495.0,133635.0,400917.0,35784.0,183096.0,99169.0,0.0,230518.0
CASTROVILLARI,CS,21666.0,2019,128054453.0,29461665.0,15815775.0,20500000.0,1303010.0,35129110.0,13654460.0,0.0,12190433.0
MARINEO,PA,6313.0,2019,,0.0,0.0,0.0,0.0,,0.0,,
SAN LORENZO MAGGIORE,BN,2021.0,2019,13328074.0,2192410.0,201485.0,419338.0,450340.0,495684.0,604919.0,0.0,8963897.0
CERCHIARA DI CALABRIA,CS,2325.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAOLISI,BN,2007.0,2019,,0.0,0.0,0.0,0.0,,0.0,,
PACHINO,SR,21758.0,2019,,0.0,0.0,0.0,0.0,,0.0,,
BRIATICO,VV,4189.0,2019,5462946.0,1119223.0,10535.0,0.0,1106977.0,1013849.0,962343.0,0.0,1250018.0
PAGANI,SA,35129.0,2019,106576578.0,35374001.0,8542451.0,4800000.0,3321386.0,24318102.0,3038393.0,0.0,27182244.0
ROSOLINI,SR,20750.0,2019,,0.0,0.0,0.0,0.0,,0.0,,
BELVEDERE MARITTIMO,CS,9172.0,2019,50291838.0,9606784.0,6819971.0,6731644.0,1995611.0,6458268.0,1878346.0,0.0,16801214.0
LUCERA,FG,32194.0,2019,53521634.0,17748613.0,1386794.0,20399900.0,224088.0,5322616.0,4299960.0,551242.0,3588422.0
COSENZA,CS,65623.0,2019,275481599.0,47090262.0,41004283.0,26612778.0,25991160.0,53862347.0,12649178.0,0.0,68271591.0
PORTICO DI CASERTA,CE,7840.0,2019,127233409.0,6891082.0,747577.0,4040000.0,376049.0,104150211.0,318232.0,0.0,10710258.0
MASSAROSA,LU,21615.0,2019,69129863.0,15220593.0,4760625.0,20000000.0,1650822.0,4703000.0,1053752.0,5698319.0,16042752.0
MOROLO,FR,3214.0,2019,5296634.0,1464993.0,186478.0,1987039.0,123993.0,1051399.0,299898.0,0.0,182834.0
CONDOFURI,RC,4861.0,2019,26105976.0,4417617.0,5790965.0,7000000.0,1147497.0,3438786.0,1569988.0,0.0,2741123.0
SCANNO,AQ,1767.0,2019,14621154.0,2106144.0,365754.0,2000000.0,300000.0,331779.0,126297.0,0.0,9391181.0
RIESI,CL,10985.0,2019,,0.0,0.0,0.0,0.0,,0.0,,
